Rasd2
Tafa3
Cdk14
Tll1
Nfasc
Sgsm1
Nfatc1
Arl6
Stox1
Gm32742
Smpd3
Pgm2l1
Zswim5
Evl
Plppr4
Magi1
Megf11
D130009I18Rik
Tcp11
Gm18589
Scyl2
Bad
Rabl2
Gm26692
Pygl
Atp6v0a1
Osbpl6
Borcs5
Fnip2
Dynlrb2
1700007K13Rik
Erich3
Wdr66
Gas6
Abr
Phtf1
Scg5
Dnajb13
Skp2
Ankef1
Cfap74
Espnl
Ubash3b
Cobl
Mns1
AC106834.1
Aars2
Cfap57
Dnah10
D7Ertd443e
Lmo7
Pld1
Cfap299
Ccdc68
Psat1
Gm45837
Samd9l
Rnf157
1810020O05Rik
Lekr1
Map2
Pde5a
Camk2b
Nrep
Rab36
Srgap1
Kif5a
Klhl14
Prag1
Fbxo16
Nrxn2
Tspan14
Mad2l2
Cep250
Cfap221
Ahi1
Gm44596
Chchd6
Hcn1
Ddx11
Erich2
Ccdc88a
Cct4
Dydc1
Slc12a5
Awat2
Prkar2a
Trim36
Usp43
Capsl
Ube2u
Lhfpl4
Gpr35
Hs3st5
Ica1
Peli3
Pifo
Gm41409
Ccdc191
Tead4
Insc
Ano3
Acot7
Erlin1
Nrcam
S100a1
Gm20033
Syt2
Ptprq
Nin
Iars
Myo15b
Bcl11a
Reep5
Lgals8
Dctn1
Nbeal2
Ankrd22
Iqce
Eps8l2
Shisal1
Syne4
Slain2
Tomt
Gm1043
Snap91
Spata7
Enox1
Mcm6
Cfap46
Hdac9
Lmbrd2
Kcp
Grk3
Negr1
Glce
Dner
Klf8
Gck
Plekhg5
4930444P10Rik
Rara
D430042O09Rik
Mthfd2
Ppp1r32
Sema6b
Ccdc151
Kcnmb2
Ccnjl
Ttc16
Cacna1d
Mtus2
Tcte2
Odf2l
Pih1d2
Fhit
Stk4
Spint2
Olfm4
Zfp276
Xirp2
Acbd6
Pclo
Cbr1
Hsf2
Shroom2
Nbas
Ddo
Nek5
Pak3
Gfi1
Cmtm8
Abca2
Dnah7a
D630045J12Rik
Brinp2
Etl4
Gm34821
Mipep
Aasdhppt
4930426D05Rik
Cep290
Rims2
Snhg11
Magi2
4930435C17Rik
Wnk2
Gm40841
Tnik
Gm1976
Jakmip1
Cdc42bpa
Kcnj2
Plppr5
Slc9a9
Agrp
Gne
Bbs1
Gm5095
Wwc1
Rfx3
Stk10
Dmxl2
Arv1
Rnf150
Gm49711
Fam241a
Satb1
Stom
Dctn3
Rpgr
Pcsk5
Kdm4b
Zfp710
Ift172
Selenom
Lrrc56
Ppme1
Fgfr1op
Slain1
Gm30191
Cers6
Pawr
Ccdc65
Syngap1
Ppfia4
1700028E10Rik
Ccl25
Mmp24
Fbxo36
Crmp1
Gpr155
Lrrn1
Ccdc13
Hook1
Fsd1l
Adgra1
Pdzrn3
Ank1
Gramd1c
Tex26
Lsamp
Bend7
Tmem232
Uhrf1bp1l
Daam1
Atp11a
Orai2
Nupl2
Cep85l
Wasf1
Hacd3
Ift74
Aak1
Kcns3
Tdrd3
Fam227a
Tnni3
Dnah7b
Rapgefl1
Dst
Fam168a
Ctnna2
Sorcs1
Rpgrip1l
Srcin1
Usp31
Scn3b
Fam124a
Dnah11
Bmper
Map1b
Ift140
Ddx46
Fads6
Galk2
Stxbp5l
Ttc26
Zcchc2
Pkia
Apba1
Bphl
Tmem67
Pcp4
Serinc2
Cers1
Ralgds
Ankrd45
Fez1
Poli
Synpo
Col18a1
Rcn1
2410004P03Rik
Lrrc9
Epm2a
Ccdc157
Ltbp1
Pdk3
Oscp1
Coq4
Parm1
Phf20
Tctn1
Cep89
Hdac4
Rgs12
A3galt2
1700029J07Rik
Cpeb3
Ncald
Cadps2
Afmid
Afdn
Foxj1
Spock2
Mtmr11
Lmtk2
Atrnl1
Marchf8
Depdc5
Tent4b
Ift43
Elfn1
Ssh2
Tmf1
Rtel1
Gm20696
Scg3
Ssc5d
Fhad1
Cnih3
Ebag9
Ccnt2
Umad1
Calm1
Mapk10
Rnf32
Kif24
Zc3h3
Rassf9
Dnal4
Impg2
Zbtb8os
Map3k9
Dync2h1
Spg11
Crkl
Marchf5
Epb41
Sirt2
Erc2
Pcdh7
Glrx3
Eya2
2210408I21Rik
Dhx33
Cfap20
Efcab12
Irak1bp1
Tacc2
Nrip1
Usp46
Cars
4930558N11Rik
Rragb
Phc2
Dennd4a
Styxl1
Ppat
Fbxo32
Shcbp1l
Dmc1
Gm31356
Ndrg3
Dlgap4
Qtrt2
Akap6
Kif3c
Fam185a
Gpsm2
Lrrc27
Pick1
Tcte1
Nol4
Dach2
Stard10
Zbtb25
Arfgef3
Mttp
Me1
Ppm1l
Xkr6
Ofcc1
Ttc8
Fam151b
Calml4
Gm17018
Chn1
Gm10069
5530601H04Rik
Ric3
Ttll8
Tbc1d30
F8
Wdpcp
Gdpd1
Chuk
Cep95
Kif3a
Coq8b
Pomt2
Rgs3
Tctn2
Brsk1
Me2
Ccser2
Slk
Gm29684
Focad
Pth1r
Gm31508
Pcdha11
Insyn1
Ttll11
Reep3
